,name,position,lon,lat
0,上海书城(福州店),上海市黄浦区福州路465号世纪出版大厦,121.488032,31.239149
1,上海古籍书店(福州路店),福州路401号1~2楼,121.489337,31.23957
2,上海书城(长宁店),长宁路1057号,121.423077,31.224017
3,上海外文书店,黄浦区福州路390号,121.489577,31.239896
4,上海三联书店(山脚下的书店),上海市泗陈公路3770号佘山文化绿洲园区,121.217301,31.12158
5,上海书城(曹杨店),上海市普陀区枣阳路107号,121.411558,31.243261
6,钟书阁(绿地缤纷城徐汇店西区店),上海市徐汇区东安路562号绿地缤纷城购物广场F1,121.463108,31.190326
7,上海外文书店,武胜路188号上海博物馆商店内,121.481922,31.233724
8,上海状元书店,嘉定区梅园路183号,121.249356,31.388054
9,西西弗书店(LuOne凯德晶萃店),上海市黄浦区徐家汇路268号凯德晶萃广场2层,121.483655,31.215768
10,新华书店(静安店),北京西路1829号,121.448981,31.230407
11,钟书阁(闵行香樟广场店),上海市闵行区沪闵路269号香樟时尚广场3楼,121.429031,31.014524
12,猫的天空之城概念书店(大学路店),上海市杨浦区大学路70号,121.517692,31.310552
13,新华书店(爱琴海购物公园店),上海市闵行区吴中路1588号爱琴海购物公园F7,121.380289,31.180449
14,东方书城(商城路店),浦东新区商城路660号乐凯大厦南广场(近南泉北路),121.525202,31.236359
15,言几又今日阅读(湖滨道购物中心店),上海市黄浦区湖滨路150号湖滨道购物中心B1,121.485716,31.226555
16,樊登书店(上海六店),上海市浦东新区张江高科技园区博云路106号B1楼,121.61348,31.208584
17,新华书店(广东路店),上海市黄浦区广东路362号,121.490972,31.238413
18,大众书局(上海禹洲店),上海市浦东新区沪南公路9928号禹洲商业广场F2,121.745358,31.045552
19,大隐书局(创智天地店),淞沪路333号,121.518529,31.310752
20,猫的天空之城概念书店(新天地时尚·...,上海市黄浦区马当路245号新天地时尚B112,121.481902,31.22376
21,新华书店(七宝店),青年路299号,121.359159,31.159395
22,之禾书店(合川路店),上海市闵行区合川路2570号科技绿洲三期2号楼2层,121.39204,31.171409
23,复旦旧书店(政肃路店),政肃路55号2楼,121.513159,31.300141
24,博库书城-漫书咖,上海市徐汇区宜山路515号1楼,121.432101,31.186669
25,新华书店(四平路店),上海市虹口区四平路95号,121.494688,31.264671
26,钟书阁(芮欧百货店),上海市静安区南京西路1601号芮欧百货F4,121.454215,31.229373
27,大隐书局,上海市徐汇区淮海中路1834-1号,121.445083,31.210914
28,大众书局(合生汇店),上海市杨浦区翔殷路1099号合生汇F2,121.525864,31.306081
29,新华书店(牡丹江路店),牡丹江路1754号,121.487813,31.410852
30,猫的天空之城概念书店(上海世茂广场店),上海市黄浦区南京东路819号上海世茂广场F3,121.482223,31.240231
31,上海先行考试书店(杨浦店),上海市杨浦区大连西路22-5号,121.505368,31.282115
32,Kubrick&库布里克书店(上海店),上海市浦东新区张杨路2389弄2号LCM置汇旭辉购物中心4F-27,121.561953,31.249205
33,上海旧书店(中华路店),上海市黄浦区中华路1351号,121.492849,31.222907
34,鲸字号书店,上海市黄浦区自忠路414号2楼,121.47962,31.224186
35,新华书店(福州路店),上海市黄浦区福州路465号上海书城二楼,121.488001,31.239132
37,大隐湖畔书局(南汇新城店),浦东新区南汇新城镇申港大道1号,121.932854,30.902752
38,钟书书店(环城路店),环城路898号,121.253182,31.018367
39,佛学书局,常德路418号乙,121.453393,31.234676
41,西西弗书店(百联世茂国际广场店),上海市黄浦区南京东路829号上海世茂广场L3层,121.482175,31.240014
42,西西弗书店(上海万象城店),上海市闵行区吴中路1599号万象城3层,121.375499,31.176307
43,Animate(上海店),福州路390号外文书店4F,121.489547,31.239869
44,新华书店(友谊路店),上海市宝山区友谊路55号,121.494165,31.412548
45,上海党建书店,高安路21号,121.451503,31.210914
46,上海军沪考试书店,上海市浦东新区五莲路630号,121.593473,31.275128
47,晨光生活馆(上海书城店),上海书城福州路465号1楼,121.488022,31.23915
49,上海立志考试书店,上海市浦东新区博兴路957,121.599539,31.272063
50,上海建友建筑书店,小木桥路780-1,121.470159,31.194654
51,上海学玲书店,上海市普陀区梅岭北路1292号,121.397334,31.249025
52,大众书局,上海市杨浦区江浦路街道城区唐山路1018号宝地广场a座,121.517733,31.267125
53,朵云书院旗舰店,上海市浦东新区陆家嘴环路479号上海中心大厦52楼,121.512241,31.239281
54,上海旧书店(方浜中路店),方浜中路408号,121.49657,31.23041
55,上海建标建筑书店,上海市虹口区四平路782-8号,121.506256,31.278538
56,中国经济书店(上海一店),广东路123-1号,121.495496,31.239302
57,上海圣大燕园书店,万航渡路1561号,121.425305,31.230155
58,上海申东外语书店(国权路店),上海市宝山区殷高路65号2幢107,121.495881,31.326411
59,上海电力书店,平凉路2097号,121.553662,31.277578
60,光的空间(绍兴路店),绍兴路7号,121.471239,31.21563
61,文脉书局(阳光天地),高科东路777号弄1号阳光天地F2层,121.662391,31.220062
62,川沙旧书店,上海市浦东新区新德路189号,121.705116,31.203758
63,Warhammer(上海书城店),福州路465号上海书城四楼,121.488022,31.239149
64,上海卢湾阳光教育书店,南塘浜路125弄3号101室,121.478884,31.209487
65,电机书局,华宁路111号上海电机学院内,121.405233,31.010242
67,玻璃宫艺术书局,上海市闵行区申长路与泰虹路交叉口下沉广场主入口,121.3211,31.208237
68,商城书店,佳宝一村底层七宝商城内,121.353017,31.16175
69,旗合殿红木江东书店,上海市浦东新区季景北路605附近,121.589033,31.351293
