,name,position,lon,lat
0,北京市新华书店(王府井书店),北京市东城区王府井大街218号,116.418373,39.9166
1,新华书店总店(城市书房店),北京市西城区北礼士路135号7号楼一层,116.358806,39.935296
2,万圣书园,成府路59-1号,116.332565,39.998637
3,北京市新华书店(良乡店),北京市房山区良乡镇良乡中路37号,116.150671,39.737555
4,北京市雨丝书店,北京市丰台区东大街2号,116.300868,39.870497
5,北京市新华书店(沙河店),北京市昌平区沙河镇工商南街12号,116.27671,40.132002
6,北京市新华书店(鲁谷店),北京市石景山区鲁谷大街5-5号,116.235235,39.908672
7,北京市中信书店,北京市昌平区回龙观镇生命园路29号创新大厦A座1层西侧,116.285437,40.097036
8,北京国图书店(中关村南大街店),北京市海淀区中关村南大街33号主楼一层,116.330743,39.950144
9,北京市新华书店(新古城书店),北京市石景山区古城大街53(近古城都市丽人医院),116.192745,39.916337
10,北京市新华书店(昌平区店),北京市昌平区鼓楼西街3号,116.238715,40.230145
11,北京帅国华书店,北京市怀柔区府前东街12号楼3单元102号,116.647241,40.322628
12,百万庄图书大厦,北京市西城区百万庄大街22号,116.346392,39.933477
13,北京市新华书店(顺义店),北京市顺义区站前东街9号(仁和中学对面),116.660752,40.132422
14,新华书店,北京市西城区西单北大街179号,116.383456,39.914075
15,北京阅”甜水园图书文化港,北京市朝阳区甜水园北里16号楼,116.485367,39.934298
16,北京雨丝书店(云岗店),北京市丰台区云岗南区东里7号,116.169228,39.816152
17,北京市新华书店(慧忠北里店),北京市朝阳区慧忠北里309号亚运村图书大厦3层,116.411725,40.009265
18,北京市中信书店(联想大厦店),北京市海淀区西北旺东路10号院2号楼联想大厦1层,116.279374,40.05264
19,北京外研书店,北京市海淀区西三环北路19号,116.315123,39.960899
20,Page One(北京坊店),廊房头条13号院1号楼1-3层,116.403268,39.904659
21,北京市新华书店(门头沟分店),北京市门头沟区城子大街136号,116.10676,39.951274
22,北京外研书店(东升科技园分店),北京市海淀区西小口路66号中关村东升科技园北领地B-6号楼1层,116.362429,40.052834
23,北京市言几又书店(王府中环方寸店),北京市东城区王府井大街269号王府中環1层,116.415049,39.918666
24,北京北国风书店,北京市通州区新华东街296号,116.665554,39.913908
25,北京乌兰花书店,北京市东城区交道口东大街8-5号楼,116.416942,39.946866
26,北京图书大厦-停车场,北京市西城区西长安街17号,116.384151,39.914237
27,北京纸老虎书店(金源店),北京市海淀区远大路1号金源时代购物中心5层15号,116.296135,39.964993
28,北京中央文献书店,北京市西城区前毛家湾甲1号,116.383417,39.9357
29,北京新华书店(管庄店),北京市朝阳区管庄路管庄大院52号,116.597999,39.922366
30,北京图书大厦-正门,北京市西城区西长安街17号,116.383553,39.913895
31,涵芬楼书店,北京市东城区王府井大街36号,116.417937,39.92626
32,北京市新华书店(花市店),北京市东城区崇文门西花市大街134号,116.425929,39.903174
33,北京铁道书店,北京市西城区右安门西街8号1号楼一层,116.359306,39.875661
34,西西弗书店(北京国贸黑标旗舰店),北京市朝阳区建国门外大街1号国贸商城北区地下二层3B201号,116.466779,39.91807
35,北京市新华书店(兴丰大街店),北京市大兴区黄村镇兴丰北大街75号,116.345709,39.738041
36,南锣书店,北京市东城区地安门东大街89号16幢一层,116.409044,39.940094
37,北京市新华书店(石园店),北京市顺义区石园南大街37号(石园南区北),116.668802,40.114354
38,北京学尔雅书店,北京市西城区新街口外大街6-4号,116.377341,39.969876
39,三味书屋,北京市西城区复兴门内大街20号,116.375113,39.912762
