,name,position,lon,lat
0,博库书城(文二路店),杭州市西湖区文二路与文北巷交叉路口东侧(浙江图书大厦),120.151317,30.289825
1,新华书店(解放路店),解放路184号,120.17482,30.256114
2,杭州沈记古旧书店,浙江省杭州市下城区体育场路390-A10号,120.166246,30.277235
3,杭州纯真年代书吧(宝石山店),杭州市西湖区边北山街保俶塔前山路8号(保俶塔正下侧),120.155074,30.266786
4,新华书店仓库(文海北路店),下沙文海北路359号,120.385159,30.343696
5,猫的天空之城概念书店(南宋御街店),杭州市上城区中山中路23-25号,120.177356,30.244637
6,新华书店(翠苑店),文一路262号,120.133975,30.294473
7,博库书城(下沙店),杭州市江干区２号大街与５号大街交叉路口往东约50米(月雅苑),120.356047,30.316
8,新华书店(庆春广场店),太平门直街458号,120.212735,30.265702
9,新华书店(临平店),余杭区临平人民大道648号,120.312783,30.417927
10,新华书店(滨文路店),浙江省杭州市滨江区滨文路358号彩宏大厦内3层308号,120.184913,30.179755
11,新华书店(萧山二店),杭州市萧山区市心中路659号,120.272778,30.182549
12,西西弗书店(杭州万象汇店),金城路927号万象汇5层L563号,120.274464,30.18795
13,建筑书店(文二路店),西湖区文二路212号高新大厦1层,120.140201,30.28935
14,大屋顶书店,浙江省杭州市余杭区良渚文化艺术中心(玉鸟路北),120.037976,30.370779
15,新华书店(萧山店),城厢街道市心南路86号,120.273615,30.168913
16,谢谢书香,浙江省杭州市上城区板桥路五福里一弄一号,120.172632,30.259125
17,新华书店(桂花路店),富阳区富春街道桂花西路281号,119.967103,30.055093
18,杭州教育书店(解放路店),杭州市上城区解放路209号,120.176138,30.256054
19,西西弗书店(临平银泰城店),杭州市余杭区南苑街道世纪大道西1号临平银泰城L3,120.309695,30.410921
20,晓风书屋(体育场店),体育场路529号,120.157009,30.274241
21,南山书屋,浙江省杭州市上城区南山路210号,120.165684,30.248123
22,星火书店,杭州市江干区桃李苑15,120.394335,30.326487
23,杭州里仁电脑书店,博园路1号杭州文化商城(3号市场三层3T-079),120.112573,30.38025
24,纯真年代书吧(杨柳郡店),浙江省杭州市江干区九和路660号杨柳郡杨柳荟18幢,120.249278,30.308912
25,心远书店,杭州市萧山区靖江路67号,120.476986,30.239093
27,蔚蓝书店(杭州萧山国际机场二店),浙江省杭州市萧山国际机场T3航站楼国内出发B97登机口旁,120.441991,30.245291
28,杭州电力书店(凤起路店),杭州市江干区凤起东路26,120.198811,30.268804
29,杭州晓惠书店,浙江省杭州市萧山区致远路6附近,120.549889,30.281892
30,杭州市西湖区恩尧文化书店,文一西路与竞舟路交叉口北50米,120.109929,30.29326
31,艺博广告书店,浙江省杭州市西湖区文三路100文锦大厦A座305,120.151218,30.283922
32,文苑书店,经济技术开发区成蹊苑14幢3-4号,120.394586,30.322083
33,杭州图书馆,杭州市江干区解放东路58号(市民中心J楼),120.214775,30.252342
34,蔚蓝书店(杭州萧山国际机场T3四店),杭州萧山国际机场T3航站楼B33号登机口旁,120.442728,30.246437
35,漫书咖,世纪大道118号理想·银泰城B1层B120,120.309703,30.410924
36,优丫漫绘本艺术生活馆,杭州市萧山区义隆路(英冠天地),120.494362,30.274036
37,钱塘书房,浙江省杭州市江干区九乔街,120.293881,30.311508
38,书墨堂,杭州市余杭区湖潭路与日辉路交叉路口往东北约50米(杭州余杭华舟丝织厂西南侧约150米),120.314522,30.472005
39,杭州羽书,万达广场B座8楼806室,120.126632,30.336481
40,杭州书房,浙江省杭州市建德市正大街79号南70米,119.509011,29.543973
41,绘图VI VI,临平朝阳西路59一61号,120.308075,30.428259
42,萌卡纳儿童绘本体验馆,杭州市江干区１４号大街与２５号大街交叉路口往东北约200米(伊萨卡国际城),120.389584,30.29483
43,杭州图书馆(环保分馆),浙江省杭州市拱墅区临半路90号,120.199653,30.382316
44,杭州西湖区图书馆,浙江省杭州市西湖区古墩路413号,120.105351,30.288726
45,杭州市拱墅区图书馆,浙江省杭州市拱墅区北城街55号人防大厦B座1-2层,120.132645,30.32599
46,杭州图书馆(运动分馆),浙江省杭州市余杭区红旗路西溪八方城6幢1楼112室,120.052557,30.294658
47,下城区文化体育中心-下城图书馆,浙江省杭州市下城区潮王路8-1号下城区体育馆北1-2层,120.176847,30.297734
48,杭州少年儿童图书馆,浙江省杭州市西湖区曙光路75号,120.141596,30.269512
49,杭州图书馆(生活主题分馆),杭州市上城区浣纱路254号,120.174311,30.260566
