,name,position,lon,lat
0,深圳书城(中心城店),广东省深圳市福田区莲花街道福中社区福中一路2014号,114.066282,22.552693
1,深圳书城(罗湖城),广东省深圳市罗湖区桂园街道新围社区深南东路5033号金山大厦1-4层,114.115708,22.547094
2,深圳书城(宝安城),广东省深圳市宝安区新桥街道沙井中心路89号金粤大楼,113.835354,22.736732
3,深圳书城(南山城),深圳市南山区粤海街道海珠社区南海大道2748号(近海德二道),113.936264,22.52538
4,友谊书城(龙华店),深圳市龙华区龙园宝华路与龙华人民路交叉路口北侧(景龙新),114.028107,22.661497
5,友谊书城(宝安店),八区前进一路97号(近恒丰中心),113.914578,22.570589
6,友谊书城(松岗店),深圳市宝安区松明大道石岗大楼底商,113.846783,22.772302
7,友谊书城(公明店),深圳市光明区金安路131号,113.895905,22.788316
8,友谊书城(平湖店),深圳市龙岗区锦冠华庭3号楼首层,114.145175,22.705742
9,旧天堂书店,南山区香山东街华侨城创意园北区A5栋120铺,113.999407,22.545959
10,建筑书店(振中路店),深圳市福田区振中路16号,114.102114,22.549071
11,西西弗书店(cocopark店),深圳市福田区福华三路268号福田星河COCO Park1层,114.060839,22.539516
12,深圳书城·中心城北区,深圳市福田区红荔路与鹏程三路交叉路口往东约50米,114.066095,22.553813
13,颜如玉书店(国威路店),深圳市罗湖区国威路159,114.176499,22.569534
14,新华书店,深圳市龙岗区龙岗大道与三馆东路交叉路口往西约50米(西埔新居东侧约50米),114.256194,22.722121
15,中信书店(深圳证券店),中心三路卓越时代广场二期中信证券大厦一楼西门,114.06444,22.539995
16,龙岗书城,深圳市龙岗区龙城街道龙翔大道文化中心c区1~2层,114.25712,22.725817
17,24小时书吧(中心书城店),福中一路2014号中心书城2楼中厅西侧,114.066489,22.551912
18,诚品生活深圳,广东省深圳市南山区大冲路万象天地LG1-5层,113.963864,22.548566
19,新华书店(龙福店),龙福路23号,114.253296,22.731827
20,覔书店(壹方城店),深圳市宝安区新湖路99号壹方城F3,113.895528,22.558348
21,亚洲眼镜(深圳书城中心城店),红荔路深圳书城中心城首层B141商铺,114.066788,22.552625
22,西西弗书店(壹方天地店),广东省深圳市龙华区人民路4022号壹方天地A区L1层,114.035002,22.65393
23,深圳市罗湖区考试书店,广东省深圳市罗湖区红岭中路1002-1号一楼(大剧院北旁),114.111451,22.550178
24,龙星图书店(欧景分店),深圳市龙岗区龙福西路88号,114.240539,22.730299
25,坪山图书馆-星光书屋,深圳市坪山区荷康路与新和一路交叉路口北侧(坪山区中心公园西侧),114.352564,22.714541
26,深圳龙岗图书馆,广东省深圳市龙岗区龙岗中心城文化中心D座图书馆,114.257064,22.725732
27,德兴文体书城,龙河路539号,114.266793,22.732398
28,嘉图设计书店,如意路278号,114.23634,22.707112
29,大亚湾乐学书店,大亚湾西区三中下方100米,114.419787,22.722544
30,深圳博雅艺术书店,福田区深南大道2012号深圳证券交易所首层106号,114.059753,22.546968
31,书店(深圳站店),深圳市罗湖区处罗湖口岸深圳站二层,114.123946,22.538166
32,堂品(深圳书城宝安店),沙井街道中心路110号宝安书城3层,113.909606,22.57105
33,奈芳书店,深圳市龙岗区兴农路与东骏路交叉路口往东北约150米(中骏云景府),114.311334,22.727644
34,盐田图书馆(新馆),广东省深圳市盐田区深盐路2128号,114.243339,22.561877
35,深圳市福田区华图书店,南华村34栋107,114.094055,22.538941
36,深圳茂业书画交易广场,深圳市龙岗区布吉街道大芬布沙路245号,114.141432,22.614425
37,南海文化书店,广东省深圳市龙岗区龙岗中心城新丰路26号附近,114.228906,22.702866
38,你的书吧,光明街道翠湖社区东区24栋202单元一层,113.954483,22.76614
39,礼珊嘉,广东省深圳市龙岗区平新北路98号DCC文化创意园1栋105,114.125798,22.68091
40,LOVE LINK深圳中心书城店,红荔西路深圳中心书城店N129,114.066022,22.55381
41,爱与被爱(深圳中心书城店),深圳市福田区中心书城一楼N129号,114.066275,22.55262
42,爱与被爱(深圳中心书城店),深圳市福田区福华路领展商业中心G层RG028号铺,114.065989,22.541419
43,新视象图书文体,深圳市龙岗区龙平东路与龙昌路交叉路口往南约100米(平冈中学东南侧),114.27816,22.736086
44,深圳市新华书店有限公司,清水河街道红岗路1003号红岗大厦503深圳市新华书店有限公司,114.11006,22.575414
45,深圳书城-直梯(客梯),深圳市南山区南海大道2748号(近海德二道)深圳书城·南山城B2,113.936321,22.525662
46,读书郎专柜,中心书城北区负1楼,114.066448,22.553031
47,鲸鱼机器人(深圳中心书城店),广东省深圳市福田区福中一路2014号中心书城北区负一楼,114.066097,22.553803
