,name,price,deal,shop,loc
0,【花呗12期免息】Huawei/华为畅享20 Plus5g手机华为官方旗舰店正品全网通nova7直降mate30荣耀x10新款p40pro,2599.00元,182人付款,京联通达数码旗舰店,北京
1,【大电池 长续航】Huawei/华为 畅享20 5G手机华为官方旗舰店正品nova7se荣耀30荣耀X10学生P30,1499.00元,1229人付款,京联通达数码旗舰店,北京
2,【百亿补贴】Huawei/华为 华为 畅享Z 5G全网通手机,1899.00元,958人付款,深港通信专卖,广东 深圳
3,【24期0首付 咨询客服享优惠】Huawei/华为畅享20 5G手机10Plus畅想官方旗舰店P40Pro正新品官网mate40Pro,1499.00元,764人付款,华为莫问专卖店,浙江 杭州
4,【限时12期免息】华为旗下荣耀30 5G手机50倍超稳远摄麒麟985芯片同款智能手机官方旗舰,2999.00元,1.0万+人付款,荣耀官方旗舰店,广东 深圳
5,【当天发 24期分期】Huawei/华为 Mate 40 Pro 5G手机mate40pro+官方旗舰店30e官网正品新直降折叠屏保时捷RS,7399.00元,1564人付款,华为莫问专卖店,浙江 杭州
6,酷派学生价游戏智能手机全网通4G全面屏cool10青春版曲面正品官方旗舰店千百元送老人老年oppo小米鼠耳机,598.00元,1573人付款,其他数码专营店,广东 深圳
7,Huawei/华为 nova 7 Pro 5G手机新款上市华为nova7se8pro系列直降,2399.00元,1191人付款,佳欣共创科技,广东 深圳
8,现货发 咨询减钱/送果汁机Huawei/华为 nova 7 5G手机新品官方旗舰店nova7pro/se 5g p40直降mate活力nowa8,2999.00元,742人付款,博盛景数码专营店,广东 深圳
9,【咨询优惠80+送好礼】麒麟 huawei/华为Nova7se 5G手机/中国移动官旗nova6 畅享10p nova7 pro 官方旗舰,2399.00元,561人付款,中国移动官方旗舰店,浙江 杭州
10,【享6期免息】华为旗下荣耀Play4 Pro双模5G麒麟990旗舰芯片拍照手机商务全面屏官方,2899.00元,1557人付款,荣耀官方旗舰店,广东 深圳
