,title,time,src,content,forward,like,comment
0,外交部发言人办公室,2020/11/14 10:49,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-11-13）  #跟我看外交# #与发言人相约蓝厅#  °【双语】例行记者会/Regular Press Conferenc...,16,87,15
1,外交部发言人办公室,2020/11/13 21:07,微博视频,【汪文斌：#中非合作论坛成为引领中非合作的旗帜，践行多边主义的楷模，坚持互利共赢的典范#】“外交部发言人办公室”消息，在11月13日外交部例行记者会上，有记者问：昨天，中方举办了中非合作论坛成立20周年纪念招待会。中方如何评价20年来中非合作论坛对促进中非友好与合作发挥的作用？当前形势下， ...展开全文c,22,248,13
2,外交部发言人办公室,2020/11/13 18:58,微博视频,"【汪文斌：#任何损害中国核心利益、干涉中国内政的行径都会遭到中方坚决回击#】“外交部发言人办公室”消息，在11月13日外交部例行记者会上，有记者问：据报道，美国务卿蓬佩奥11月12日接受采访时称，台湾不是中国的一部分。中方对此有何评论？
汪文斌：世界上只有一个中国，台湾是中国领土不可分 ...展开全文c",57,402,47
3,外交部发言人办公室,2020/11/13 18:47,微博 weibo.com,#中国—东盟（10+1）领导人会议取得丰硕成果# #跟我看外交# #与发言人相约蓝厅#  °中国—东盟（10+1）领导人会议取得丰硕成果,12,184,9
4,外交部发言人办公室,2020/11/13 17:46,微博视频,"【汪文斌：#难道英国、澳大利亚指望港人不认同“一国”，不效忠国家和特区吗？#】“外交部发言人办公室”消息，在11月13日外交部例行记者会上，有记者问：关于中国全国人大常委会通过关于香港特别行政区立法会议员资格问题的决定，英国昨天称这一决定违反了《中英联合声明》。中方有何回应？
汪文 ...展开全文c",54,467,63
5,外交部发言人办公室,2020/11/13 10:31,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-11-12）   #跟我看外交# #与发言人相约蓝厅#       °【双语】例行记者会/Regular Press Conferenc...,26,134,20
6,外交部发言人办公室,2020/11/12 19:00,微博视频,【汪文斌：#巴西监管机构允许科兴公司恢复新冠疫苗临床试验#】#跟我看外交##与发言人相约蓝厅# @人民视频  L外交部发言人办公室的微博视频,19,238,22
7,外交部发言人办公室,2020/11/12 18:12,微博视频,【汪文斌：#一切挑动对抗和分裂、倒退回冷战年代的言行都不得人心。#】#跟我看外交##与发言人相约蓝厅#  L外交部发言人办公室的微博视频,38,381,24
8,外交部发言人办公室,2020/11/12 18:02,微博 weibo.com,汪文斌：#中澳关系要走出困境，关键在于澳方##跟我看外交##与发言人相约蓝厅#  °汪文斌：中澳关系要走出困境，关键在于澳方,20,255,19
9,外交部发言人办公室,2020/11/12 17:54,微博视频,"【汪文斌：#少数西方国家指责第一没有资格，第二没有道理，第三没有市场#】“外交部发言人办公室”消息，在11月12日外交部例行记者会上，有记者问：在4名香港立法会反对派议员资格丧失后，美国警告称将继续对中方实施制裁，英、德等国也批评中方的决定。外交部对此有何回应？
汪文斌：少数几个国家 ...展开全文c",117,490,54
10,外交部发言人办公室,2020/11/12 10:34,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-11-11）   #跟我看外交# #与发言人相约蓝厅#      °【双语】例行记者会/Regular Press Conferenc...,23,128,19
11,外交部发言人办公室,2020/11/11 21:52,360安全浏览器,【汪文斌：#香港特区立法会议员资格问题纯属中国内政#】“外交部发言人办公室”消息，在11月11日外交部例行记者会上，有记者问：十几名香港立法会民主派议员将在今天晚些时候举行记者会宣布集体辞职，这是他们对中国全国人大常委会通过关于香港特区立法会议员资格问题的决定作出的回应。中方对此有何评 ...展开全文c,178,960,113
12,外交部发言人办公室,2020/11/11 20:58,360安全浏览器,【汪文斌：#进博会传递各国加强合作、推动世界经济复苏的坚定信心#】“外交部发言人办公室”消息，在11月11日外交部例行记者会上，有记者问：第三届中国国际进口博览会昨天已闭幕。在当前新冠肺炎疫情继续蔓延的特殊背景下，本届进博会各国参展踊跃，累计意向成交726.2亿美元，同比增长2.1%，交出了一 ...展开全文c,18,277,评论
13,外交部发言人办公室,2020/11/11 10:20,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-11-10）   #跟我看外交# #与发言人相约蓝厅#    °【双语】例行记者会/Regular Press Conferenc...,19,139,24
14,外交部发言人办公室,2020/10/30 10:50,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-10-29）#跟我看外交# #与发言人相约蓝厅#  °【双语】例行记者会/Regular Press Conferenc...,16,130,33
